MariaDB [adday]> source lab4queries.sql
+--------------+-----------+---------------+--------------+
| ISBN         | member_id | checkout_date | checkin_date |
| 964210311003 |      2012 | 2016-04-04    | 2016-04-09   |
| 964210311003 |      2022 | 2016-06-01    | 9999-01-01   |
| 964210311709 |      1800 | 2016-06-11    | 9999-01-01   |
+--------------+-----------+---------------+--------------+
131 rows in set (0.00 sec)

+------------+-----------+-----------+------------------------------+
| first_name | last_name | member_id | title                        |
+------------+-----------+-----------+------------------------------+
| John       | Locke     |      2012 | Mr. Smith Goes to Washington |
| Sun        | Kwon      |      2011 | Last Train to Clarksville    |
| Sun        | Kwon      |      2011 | Database Theory              |
| Roger      | Ramjet    |      1400 | Challenging Puzzles          |
| Dworkin    | Barimen   |      1800 | Fixing Computers             |
| Xander     | Harris    |      2022 | Fixing Computers             |
| Leo        | Wyatt     |      2020 | How to Grow Cucumbers        |
| John       | Locke     |      2012 | Using the Library            |
| John       | Locke     |      2012 | Too Many Cooks               |
| Leo        | Wyatt     |      2020 | Too Many Cooks               |
| Sun        | Kwon      |      2011 | Green is Your Friend         |
| Xander     | Harris    |      2022 | Missing Tomorrow             |
| Dworkin    | Barimen   |      1800 | Green Eggs                   |
+------------+-----------+-----------+------------------------------+
13 rows in set (0.00 sec)

MariaDB [adday]> notee
